warehouse_size,query_num,run_type,run_count,avg_exec_time,median_exec_time,min_exec_time,max_exec_time,stddev_exec_time
SMALL,20,warm,3,6.658,6.02,5.968,7.985,1.15
SMALL,21,semi-warm,1,14.08,14.08,14.08,14.08,
SMALL,21,warm,3,16.518,15.761,14.514,19.28,2.472
SMALL,22,semi-warm,1,10.126,10.126,10.126,10.126,
SMALL,22,warm,3,5.135,5.522,4.283,5.6,0.739
XLARGE,1,cold,1,2.969,2.969,2.969,2.969,
XLARGE,1,warm,3,1.864,1.65,1.601,2.34,0.413
XLARGE,2,semi-warm,1,17.322,17.322,17.322,17.322,
XLARGE,2,warm,3,10.072,12.008,4.859,13.35,4.564
XLARGE,3,semi-warm,1,5.619,5.619,5.619,5.619,
XLARGE,3,warm,3,3.795,4.227,2.913,4.246,0.764
XLARGE,4,semi-warm,1,2.334,2.334,2.334,2.334,
XLARGE,4,warm,3,1.661,1.65,1.648,1.684,0.02
XLARGE,5,semi-warm,1,3.587,3.587,3.587,3.587,
XLARGE,5,warm,3,3.413,3.566,3.074,3.6,0.294
XLARGE,6,semi-warm,1,1.269,1.269,1.269,1.269,
XLARGE,6,warm,3,1.103,1.077,1.05,1.182,0.07
XLARGE,7,semi-warm,1,3.118,3.118,3.118,3.118,
XLARGE,7,warm,3,2.583,2.415,2.392,2.941,0.311
XLARGE,8,semi-warm,1,4.045,4.045,4.045,4.045,
XLARGE,8,warm,3,4.118,3.063,2.828,6.464,2.035
XLARGE,9,semi-warm,1,13.215,13.215,13.215,13.215,
XLARGE,9,warm,3,11.546,12.772,7.662,14.205,3.439
XLARGE,10,semi-warm,1,5.878,5.878,5.878,5.878,
XLARGE,10,warm,3,4.916,4.484,4.359,5.905,0.859
XLARGE,11,semi-warm,1,9.104,9.104,9.104,9.104,
XLARGE,11,warm,3,12.144,13.044,7.834,15.554,3.938
XLARGE,12,semi-warm,1,2.355,2.355,2.355,2.355,
XLARGE,12,warm,3,2.422,1.75,1.709,3.807,1.2
XLARGE,13,semi-warm,1,3.81,3.81,3.81,3.81,
XLARGE,13,warm,3,3.712,3.705,3.665,3.766,0.051
XLARGE,14,semi-warm,1,2.203,2.203,2.203,2.203,
XLARGE,14,warm,3,1.131,1.144,1.067,1.182,0.059
XLARGE,15,semi-warm,1,1.757,1.757,1.757,1.757,
XLARGE,15,warm,3,1.104,1.105,1.097,1.11,0.007
XLARGE,16,semi-warm,1,5.713,5.713,5.713,5.713,
XLARGE,16,warm,3,6.758,5.859,5.568,8.846,1.814
XLARGE,17,semi-warm,1,1.778,1.778,1.778,1.778,
XLARGE,17,warm,3,1.559,1.704,1.187,1.787,0.325
XLARGE,18,semi-warm,1,4.043,4.043,4.043,4.043,
XLARGE,18,warm,3,3.521,3.725,3.062,3.777,0.399
XLARGE,19,semi-warm,1,1.284,1.284,1.284,1.284,
XLARGE,19,warm,3,1.12,1.112,1.062,1.186,0.062
XLARGE,20,semi-warm,1,5.811,5.811,5.811,5.811,
XLARGE,20,warm,3,5.882,5.799,4.943,6.903,0.983
XLARGE,21,semi-warm,1,3.532,3.532,3.532,3.532,
XLARGE,21,warm,3,3.648,3.573,3.537,3.835,0.163
XLARGE,22,semi-warm,1,2.294,2.294,2.294,2.294,
XLARGE,22,warm,3,1.711,1.688,1.621,1.824,0.103
