ctas_variant,variant_description,variant_details,sql_snippet
narrow_tall,Narrow Tall,~6B rows x 4 columns - pure write throughput,"SELECT l_orderkey, l_partkey, l_quantity, l_extendedprice FROM LINEITEM"
standard_tall,Standard Tall,~6B rows x 16 columns - full table copy,"SELECT * FROM LINEITEM"
medium_wide,Medium Wide,~1.5B rows x 24 columns - orders + customer dimensions,"SELECT o.*, c.*, n.*, r.* FROM ORDERS o JOIN CUSTOMER c JOIN NATION n JOIN REGION r"
very_wide,Very Wide,~6B rows x 59 columns - fully denormalized fact table,"SELECT l.*, o.*, c.*, p.*, s.*, ps.*, cn.*, sn.*, cr.*, sr.* FROM LINEITEM l JOIN... (9 tables)"
filtered,Filtered,~2B rows x 16 columns - filtered write subset,"SELECT * FROM LINEITEM WHERE l_shipdate >= '1995-01-01'"
